Nº INSCRIPCIÓN,DENOMINACIÓN SOCIAL,PROVINCIA,LOCALIDAD,CP,CLASE O GRADO,FECHA INSCRIPCIÓN
EXT-891,SOCIEDAD COOPERATIVA NTRA. SRA. DEL CAMPO DE ALISEDA,CACERES,ALISEDA,10550,Sociedades Cooperativas Agroalimentarias,26/12/1967
EXT-176,"ALMARAZ, S. COOP.",CACERES,ALMARAZ,10350,Sociedades Cooperativas de Trabajo Asociado,08/11/1995
CC-080,SAN ROQUE DE ALMARAZ S. COOP. LTDA,CACERES,ALMARAZ,10350,Sociedades Cooperativas de Trabajo Asociado,26/10/1982
SMT-981,"REGADHIGOS, S. COOP. LTDA.",CACERES,ALMOHARIN,10132,Sociedades Cooperativas Agroalimentarias,02/03/1987
EXT-025,"S. COOP. LTDA. APROCEX, ASOCIACIÓN DE PRODUCTORES DEL CENTRO DE EXTREMADURA",CACERES,ALMOHARIN,10132,Segundo Grado,16/07/1998
CC-065,SOCIEDAD COOPERATIVA LIMITADA ALMOHIGO,CACERES,ALMOHARIN,10132,Sociedades Cooperativas de Trabajo Asociado,16/04/1982
CC-204,SOPETRAN SOCIEDAD COOPERATIVA LIMITADA,CACERES,ALMOHARIN,10132,Sociedades Cooperativas Agroalimentarias,18/03/1987
EXT-022,SAN JUAN DE ALONSO DE OJEDA SOCIEDAD COOPERATIVA AGRICOLA,CACERES,ALONSO DE OJEDA,10109,Sociedades Cooperativas Agroalimentarias,16/03/1995
19351,SOCIEDAD COOPERATIVA SAN JOSÉ,CACERES,ALONSO DE OJEDA,10109,Sociedades Cooperativas Agroalimentarias,16/12/1972
EXT-1038,"COOPERATIVA ARROYANA SAN ANTÓN, S. COOP. LTDA.",CACERES,ARROYO DE LA LUZ,10900,Sociedades Cooperativas de Trabajo Asociado,13/01/1994
EXT-414,EL DORADO EDIFICACIONES DE VIVIENDAS S. COOP.,CACERES,ARROYO DE LA LUZ,10900,Sociedades Cooperativas de Viviendas,11/12/2006
10-CC-549,REFORMAS Y ESTRUCTURAS S. COOP. LTDA.,CACERES,ARROYO DE LA LUZ,10900,Sociedades Cooperativas de Trabajo Asociado,18/04/2000
10-CC-440,SOCIEDAD COOPERATIVA DE FERRALLISTAS JOPORFE,CACERES,ARROYO DE LA LUZ,10900,Sociedades Cooperativas de Trabajo Asociado,15/11/1993
22739,SOCIEDAD COOPERATIVA DE VIVIENDAS SAN GREGORIO,CACERES,ARROYO DE LA LUZ,10900,Sociedades Cooperativas de Viviendas,02/05/1977
CC-009,SOCIEDAD COOPERATIVA LIMITADA EL DIVINO MORALES,CACERES,ARROYO DE LA LUZ,10900,Sociedades Cooperativas de Trabajo Asociado,03/07/1980
EXT-932,SOCIEDAD COOPERATIVA LIMITADA NUESTRA SEÑORA DE LA LUZ,CACERES,ARROYO DE LA LUZ,10900,Sociedades Cooperativas Agroalimentarias,11/07/1972
23782,SOCIEDAD COOPERATIVA SAN SEBASTIÁN,CACERES,ARROYOMOLINOS,10161,Sociedades Cooperativas Agroalimentarias,17/03/1960
EXT-562,SOCIEDAD COOPERATIVA AGRARIA SAN PABLO,CACERES,ARROYOMOLINOS DE LA VERA,10410,Sociedades Cooperativas Agroalimentarias,04/04/1968
EXT-870,S. COOP. AGROACE,CACERES,AZABAL,10649,Sociedades Cooperativas Agroalimentarias,20/09/2000
20684,SOCIEDAD COOPERATIVA SAN RAMÓN NONATO,CACERES,AZABAL,10649,Sociedades Cooperativas Agroalimentarias,24/12/1974
15024,COOPERATIVA INDUSTRIAL DE CESTERÍA SAN JOSE ARTESANO,CACERES,BAÑOS DE MONTEMAYOR,10750,Sociedades Cooperativas de Trabajo Asociado,26/07/1967
16620,SOCIEDAD COOPERATIVA SANTA ROSA DE LIMA,CACERES,BAÑOS DE MONTEMAYOR,10750,Sociedades Cooperativas Agroalimentarias,02/04/1969
22995,SOCIEDAD COOPERATIVA SAN MIGUEL,CACERES,BARQUILLA DE PINARES,10318,Sociedades Cooperativas Agroalimentarias,05/08/1977
EXT-1301,"COMUNIDAD ENERGÉTICA LOCAL LA BARRAEÑA, S. COOP.",CACERES,BARRADO,10696,Sociedades Cooperativas de Consumidores y Usuarios,24/01/2023
EXT-066,SOCIEDAD COOPERATIVA LIMITADA NUESTRA SEÑORA DEL VISO,CACERES,BARRADO,10696,Sociedades Cooperativas Agroalimentarias,06/07/1964
EXT-829,"PROMOCION GANADERA DEL ALAGON, S. COOP.",CACERES,BATAN (EL),10692,Sociedades Cooperativas de Trabajo Asociado,12/07/2001
10-CC-493,S. COOP. MACARENA,CACERES,BATAN (EL),10692,Sociedades Cooperativas Agroalimentarias,25/03/1996
CC-100,SOCIEDAD COOPERATIVA LIMITADA DEL CAMPO MONROY,CACERES,BELVIS DE MONROY,10394,Sociedades Cooperativas Agroalimentarias,21/02/1984
17918,COOPERATIVA AGRÍCOLA GANADERA DE BENQUERENCIA,CACERES,BENQUERENCIA,10185,Sociedades Cooperativas Agroalimentarias,10/06/1970
EXT-887,SOCIEDAD COOPERATIVA AGROPECUARIA DE BERZOCANA DE SAN FULGENCIO,CACERES,BERZOCANA,10129,Sociedades Cooperativas Agroalimentarias,30/08/1969
EXT-780,SOCIEDAD COOPERATIVA LIMITADA DEL CAMPO LAS ERAS,CACERES,BOHONAL DE IBOR,10320,Sociedades Cooperativas Agroalimentarias,17/05/1985
23782,SOCIEDAD COOPERATIVA SAN SEBASTIÁN,CACERES,BOTIJA,10181,Sociedades Cooperativas Agroalimentarias,05/09/1974
EXT-1200,"EXTREMEÑA DEL CAMPO DE BROZAS, SOCIEDAD COOPERATIVA ESPECIAL",CACERES,BROZAS,10950,Sociedades Cooperativas de Trabajo Asociado,28/02/2019
