Num. Registro,Provincia,exp_fecapertura,exp_fecestado,Nombre establecimiento,Municipio,C. Postal,Web
OA-CC-00096,Cáceres,12/03/2015,12/03/2015,TURISMO ACTIVO EN EL VALLE DEL AMBROZ,HERVAS,10700,Si
OA-CC-00174,Cáceres,29/09/2021,29/09/2021,VERATA EXPERIENCE,HERVAS,10700,Si
OA-CC-00161,Cáceres,05/02/2020,05/02/2020,VIVE AMBROZ,HERVAS,10700,Si
OA-CC-00127,Cáceres,11/11/2016,11/11/2016,MONFRAGÜE LANDSCAPE,JARAICEJO,10380,No
OA-CC-00186,Cáceres,08/04/2022,08/04/2022,DENADA - DEPORTE Y NATURALEZA,JARAIZ DE LA VERA,10400,Si
OA-CC-00002,Cáceres,04/10/2002,04/10/2002,JARA MANDA,JARAIZ DE LA VERA,10400,Si
OA-CC-00108,Cáceres,29/06/2015,29/06/2015,CABALLOS LA VERA,JARANDILLA DE LA VERA,10450,Si
OA-CC-00084,Cáceres,01/10/2014,01/10/2014,GARGANTA DE LOS INFIERNOS ACTIVIDADES EN LA NATURALEZA,JERTE,10612,No
OA-CC-00169,Cáceres,12/11/2019,12/11/2019,GUIA 2 NATURALEZA Y AVENTURA,JERTE,10612,No
OA-CC-00176,Cáceres,12/01/2022,12/01/2022,EL TIO PICHO,LADRILLAR,10624,No
OA-CC-00100,Cáceres,12/05/2015,12/05/2015,SABORES HURDANOS,LADRILLAR,10624,No
OA-CC-00066,Cáceres,13/01/2014,13/01/2014,AVENTUVERA,LOSAR DE LA VERA,10460,Si
OA-CC-00175,Cáceres,19/10/2021,19/10/2021,VERAMOUNTAIN,MADRIGAL DE LA VERA,10480,Si
OA-CC-00151,Cáceres,20/03/2019,20/03/2019,BARRUECOS NATURA,MALPARTIDA DE CACERES,10190,No
OA-CC-00110,Cáceres,27/07/2015,27/07/2015,ALPINISMO Y ALGO MÁS,MALPARTIDA DE PLASENCIA,10680,No
OA-CC-00149,Cáceres,14/03/2019,14/03/2019,ASTROTURISMO MONFRAGÜE,MALPARTIDA DE PLASENCIA,10590,No
OA-CC-00010,Cáceres,21/10/2003,21/10/2003,EN RUTA,MALPARTIDA DE PLASENCIA,10680,Si
OA-CC-00073,Cáceres,31/03/2014,31/03/2014,MONFRAGÜE TREASURES,MALPARTIDA DE PLASENCIA,10680,No
OA-CC-00070,Cáceres,28/02/2014,28/02/2014,MONFRAGÜE VIVO,MALPARTIDA DE PLASENCIA,10680,No
OA-CC-00114,Cáceres,26/10/2015,26/10/2015,NATURLINGUA,MALPARTIDA DE PLASENCIA,10680,No
OA-CC-00134,Cáceres,23/06/2017,23/06/2017,NATURS,MALPARTIDA DE PLASENCIA,10680,Si
OA-CC-00154,Cáceres,12/08/2019,12/08/2019,SIERRA DE MONFRAGUE-,MALPARTIDA DE PLASENCIA,10680,No
OA-CC-00143,Cáceres,13/11/2018,13/11/2018,OLEOSETIN,MARCHAGAZ,10662,No
